Name,Location,Distance,Rate,Grade,Price,Review,TypeRoom,TypeBed,CancellationPolicy,DateOfVacation,SnapShotDate,numOfNights,TimeToTravel
DoubleTree by Hilton New York Times Square South,"Hell's Kitchen, New York",1.8 km from center,7.9,Good,₪ 803,"4,446 reviews",Queen Studio,1 queen bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Fairfield Inn & Suites by Marriott New York Manhattan/Central Park,"Hell's Kitchen, New York",0.7 km from center,7.9,Good,₪ 400,"1,047 reviews",SoHo King,1 king bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Millennium Downtown New York,"Wall Street - Financial District, New York",6.8 km from center,7.3,Good,₪ 528,"3,629 reviews","Larger Guest room, 1 King, City view",1 king bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Sixty LES,"Lower East Side, New York",5.2 km from center,7.2,Good,₪ 656,"1,050 reviews",One King Bed Hearing Accessible,1 king bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
SoHo 54,"SoHo, New York",5.3 km from center,6.8,Review score,₪ 693,"1,553 reviews",Standard Room,1 queen bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Four Points by Sheraton New York Downtown,"Wall Street - Financial District, New York",7 km from center,7.2,Good,₪ 840,"2,130 reviews",Standard Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Doubletree By Hilton New York Times Square West,"Hell's Kitchen, New York",1.6 km from center,7.0,Good,₪ 630,"14,189 reviews",Celebrity King,1 king bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Hotel Indigo Lower East Side New York,"Lower East Side, New York",5.2 km from center,7.6,Good,₪ 808,729 reviews,King Room,1 king bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Empire Hotel,"Upper West Side, New York",400 m from center,6.8,Review score,₪ 803,"2,513 reviews",Deluxe Queen Room,1 queen bed,Free cancellation,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
"Staypineapple, An Artful Hotel, Midtown New York","Hell's Kitchen, New York",1.8 km from center,8.7,Excellent,₪ 656,735 reviews,Cozy Queen Room,1 queen bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
